type,resource_type,resource_status,recommendation,tags,expected_duration,locale,name,creator,description,thumbnail,link,online_link,registration_link,event_address,date_from,date_to
,,,,,,en,7 Days to Fall in Love With Jesus – Jean-Luc Trachsel,Jean-Luc Trachsel Ministries,"Enter into a deeper intimacy with Jesus every day. Over the course of this 7-day journey, step by step, a deeper and deeper relationship will take shape. You'll discover or rediscover how precious and indispensable this intimacy is to Him in our walk with Him. Rediscover your first love for Jesus!",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F62088%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/62088-7-days-to-fall-in-love-with-jesus-jean-luc-tra,,,,,
resource,reading_plan,,9,,5,,,,,,,,,,,
,,,,,,en,Becoming a Person of Welcome,Intervarsity Press,"Most of us have experienced hospitality and welcome in homes and hotels. Yet hospitality goes beyond the walls of where we are and moves towards others. Hospitality is the work of welcome and is a posture we carry with us wherever we go. This reading plan walks through the times in the life of Jesus where he was vulnerable and rejected, when he received hospitality and repaired through it, and how he expands the space of welcome. ",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F62739%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/62739-becoming-a-person-of-welcome,,,,,
resource,reading_plan,,9,,6,,,,,,,,,,,
,,,,,,en,Listening Well: A Guide for Men,Zoweh,"Do you have trouble slowing down your own thoughts, hearing what others are saying? One of the unique ways we bear God’s image is in our ability to listen to and understand others. Good listening fosters an environment in which others feel heard, understood, and loved. In this 6-day plan, we invite you to deepen your Kingdom impact by cultivating the skills to practice good listening every day.",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F62441%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/62441-listening-well-a-guide-for-men,,,,,
resource,reading_plan,,9,,10,,,,,,,,,,,
,,,,,,en,Heavenly Fruits,Sheltered Church,"Heavenly Fruits with Marcus Mooki is a 10-day devotional exploring the fruit of the Spirit (Galatians 5:22–24). Each day focuses on one fruit—love, joy, peace, patience, kindness, goodness, faithfulness, gentleness, and self-control—revealing how the Holy Spirit shapes Christlike character within us. Through Scripture, teaching, confessions, and Spirit-led prayers, you’ll discover that true transformation is not achieved by striving but by abiding in Christ and yielding to His Spirit. This journey will help you walk daily in the Spirit and bear lasting fruit that glorifies God.",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F62815%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/62815-heavenly-fruits,,,,,
resource,reading_plan,,9,,16,,,,,,,,,,,
,,,,,,en,16 Characteristics of the God-Kind of Love - 1 Corinthians 13:4-8,The Bible Daily Network,"In the Bible, several scriptures illustrate how God demonstrates His love. One of such popular scriptures is 1 Corinthians 13:4-8. In those five verses, Apostle Paul enumerates sixteen different characteristics of God’s love, of which we are supposed to emulate each one by grace. In this plan, you will learn about each one and how to apply them to your life for a victorious Christian living.",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F62035%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/62035-16-characteristics-of-the-god-kind-of-love-1-cori,,,,,
resource,reading_plan,,9,,30,,,,,,,,,,,
,,,,,,en,Love That Lasts: 30 Days in God’s Word,Happily Married Couples,"What if your marriage could grow stronger in just a few minutes a day? This 30-day plan makes it simple: Each day, you’ll read a short verse, pray it over your marriage, and put it into practice with one simple step. The rhythm is short, practical, and powerful. In just 30 days, you’ll see how daily Scripture and prayer can bring lasting change to your marriage and your heart.",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F62350%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/62350-love-that-lasts-30-days-in-gods-word,,,,,
resource,reading_plan,,9,,5,,,,,,,,,,,
,,,,,,en,God's Child,Compassion Kenya,"So many of us live far below who God has called us to be. We forget that we are not just saved—we are adopted into His family, sealed with His Spirit, and called heirs of His Kingdom. This 5-day plan, God’s Child, will help you discover what it truly means to be a son or daughter of God. Together, we’ll explore our identity in Christ, the privileges and access we have as His children, the barriers that keep us from living in freedom, and the promises that belong to us as His heirs. ",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F61987%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/61987-gods-child,,,,,
resource,reading_plan,,9,,21,,,,,,,,,,,
,,,,,,en,Know Love Like This: 21 Days of Discovering God's Heart for You,Gateway Church,"God’s love for you is unconditional, inescapable, and unstoppable. The apostle John understood this love, and it changed his life. As you read each day of this 21-day devotional along with the Gospel of John, you'll discover there is no love like Jesus’ love for you, and you'll know His love in your heart.",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F42511%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/42511-know-love-like-this-21-days-of-discovering-gods,,,,,
resource,reading_plan,,9,,7,,,,,,,,,,,
,,,,,,en,Living Loved: See Yourself Through God’s Eyes,Jen Weaver,"Ever been afraid that you’re not enough? Struggle to believe that God really loves and sees you? This 7-day plan from Bible teacher Jen Weaver will help you silence nagging self-doubt and replace insecurity with confidence as you receive God’s incredible truth about who you are. Discover how to align your thoughts with His promises and live with the assurance that you’re deeply loved, chosen, and seen by God every day.",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F56082%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/56082-living-loved-see-yourself-through-gods-eyes,,,,,
resource,reading_plan,,9,,10,,,,,,,,,,,
,,,,,,en,Conflict as a Catalyst,Authentic Intimacy,"Most of us were raised to view conflict as a bad thing. And we carry that belief into our marriages—too often believing that no conflict = happy, healthy relationship. But in any close relationship, conflict is inevitable. In this 10-day devotional,  Dr. Juli Slattery explores how God wants conflict to be used as a catalyst for intimacy in our marriages, instead of catastrophes that destroy them.",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F22986%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/22986-conflict-as-a-catalyst,,,,,
resource,reading_plan,,9,,5,,,,,,,,,,,
,,,,,,en,Beyond the Words: Encountering the God of the Bible,Jen Weaver,"Do you want to experience the Bible in a deeper way? In this 5-day plan, Bible teacher Jen Weaver shares the life-changing shift that transformed her relationship with God and His Word. If your Bible reading has ever felt dry, confusing, or just another task to complete, this plan is for you. Experience how God can open your eyes to His presence—not just in the pages of Scripture, but in the everyday moments of your life.",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F56722%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/56722-beyond-the-words-encountering-the-god-of-the-bible,,,,,
resource,reading_plan,,9,,35,,,,,,,,,,,
,,,,,,en,Romans - Part 4: SPIRIT,Cornerstone Community Church,"This plan is an overview of the unashamed wonder and power of the gospel (Romans 1:16). In this plan, Part 4 of our six-part series through the book of Romans, we will see the role of the SPIRIT. As you read, slow down and enjoy the richness of the truths found within each passage.",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F39061%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/39061-romans-part-4-spirit,,,,,
resource,reading_plan,,9,,5,,,,,,,,,,,
,,,,,,en,Overcoming Shame,Zoweh,"This five-day reading plan guides you on a journey of healing from the grip of shame. In this plan you will find some redundancy - it's on purpose. It takes time and reminding to invite Jesus to meet you in your brokenness and offer restoration, identity, and freedom. With each day, you’ll confront the lies of shame and be encouraged again to embrace the transformative love of God, breaking shame's hold of old agreements, and breaking new ground by stepping into your true self. Let this time with God bring you a power that leads to wholeness and peace. ",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F61764%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/61764-overcoming-shame,,,,,
resource,reading_plan,,9,,14,,,,,,,,,,,
